Отметка времени;Из какого вы города?;Сколько вам лет?;1. Как вы называете предмет, изображенный на картинке?;2. Каким словом вы называете следующую канцелярскую принадлежность?;3. Как в вашем окружении называют городской транспорт следующего типа?;"4. Что такое ""слива?""";5. Как вы называете продукт, изображенный на картинке?;"6. Что означает слово ""орать""?";"7. Какой глагол вы используете для обозначения действия ""сделать фотографию""?";8. Как называются эти хлебные изделия?;9. Выберите вариант, который считаете верным.;10. Как называется эта ягода ?
12.15.2016 0:06:40;Барнаул;21;Мультифора;Корре́ктор;Маршрутка;Фрукт;Бичпакет;Кричать;Фотать;Ватрушки;Инструмент для выдирания гвоздей/ Вредная женщина;Виктория
12.15.2016 0:10:02;Барнаул;21;Мультифора;Корре́ктор;Маршрутка;Фрукт;Бичпакет;Кричать;Фотать;Ватрушки;Вредная женщина;Виктория
12.15.2016 10:27:37;Омск;21;Файл;Штрих;Маршрутка;Фрукт;Чойс;Смеяться;Фоткать;Ватрушки;Не знаю;Клубника
12.15.2016 10:47:41;Новосибирск;21;Мультифора;Корре́ктор;Микроавтобус;Фрукт;Бичпакет;Кричать;Фотать;Ватрушки;Вредная женщина;Клубника
12.15.2016 10:49:03;Омск;20;Файл;Штрих;Маршрутка;Синяк;Чойс;Смеяться;Фоткать;Ватрушки;Инструмент для выдирания гвоздей;Виктория
12.15.2016 11:20:03;Новосибирск;21;Мультифора;Корре́ктор;Микроавтобус;Фрукт;Бичпакет;Кричать;Фотать;Ватрушки;Вредная женщина;Виктория
12.15.2016 11:42:33;Барнаул;21;Мультифора;Корре́ктор;Маршрутка;Фрукт;Бичпакет;Кричать;Фоткать;Ватрушки;Вредная женщина;Виктория
12.15.2016 12:00:37;Омск;20;Файл;Штрих;Маршрутка;Фрукт;Чойс;Смеяться;Фотать;Ватрушки;Инструмент для выдирания гвоздей;Клубника
12.15.2016 12:04:57;Омск;20;Файл;Штрих;Микроавтобус;Шутка;Чойс;Смеяться;Фоткать;Ватрушки;Не знаю;Клубника
12.15.2016 12:51:51;Новосибирск;21;Мультифора;Корре́ктор;Микроавтобус;Фрукт;Бичпакет;Кричать;Фотать;Ватрушки;Не знаю;Виктория
12.15.2016 13:58:27;Барнаул;21;Мультифора;Корре́ктор;Микроавтобус;Фрукт;Бичпакет;Кричать;Фотать;Ватрушки;Инструмент для выдирания гвоздей;Клубника
12.15.2016 15:39:45;Новосибирск;21;Мультифора;Корре́ктор;Микроавтобус;Фрукт;Бичпакет;Кричать;Фоткать;Ватрушки;Не знаю;Клубника
12.15.2016 15:52:31;Новосибирск;21;Мультифора;Корре́ктор;Маршрутка;Синяк;Бичпакет;Смеяться;Фоткать;Ватрушки;Вредная женщина;Виктория
12.15.2016 15:58:32;Омск;21;Файл;Штрих;Маршрутка;Фрукт;Чойс;Кричать;Фоткать;Ватрушки;Не знаю;Клубника
12.15.2016 16:00:25;Омск;21;Файл;Штрих;Маршрутка;Фрукт;Чойс;Смеяться;Фоткать;Ватрушки;Не знаю;Клубника
12.15.2016 16:02:57;Новосибирск;21;Файл;Штрих, Замазка;Маршрутка;Фрукт;Бичпакет;Кричать;Фотать;Ватрушки;Вредная женщина;Клубника
12.15.2016 16:05:42;Новосибирск;20;Файл;Штрих;Микроавтобус;Фрукт;Бичпакет;Кричать;Фоткать;Ватрушки;Не знаю;Клубника
12.15.2016 16:07:34;Новосибирск;21;Мультифора;Корре́ктор;Микроавтобус;Фрукт/Синяк ;Чойс;Кричать;Фоткать;Шанежки;Не знаю ;Клубника
12.15.2016 16:16:49;Барнаул;21;Мультифора;Корре́ктор;Маршрутка;Фрукт;Бичпакет;Кричать;Фоткать;Ватрушки;Вредная женщина;Виктория
12.15.2016 16:26:26;Барнаул;22;Мультифора;Корре́ктор;Маршрутка;Фрукт;Бичпакет;Кричать;Фоткать;Ватрушки;Вредная женщина;Клубника
12.15.2016 16:26:40;Барнаул;21;Мультифора;Корре́ктор;Маршрутка;Фрукт;Бичпакет;Кричать;Фотать;Ватрушки;Инструмент для выдирания гвоздей;Виктория
12.15.2016 17:18:33;Барнаул;21;Файл;Корре́ктор;Микроавтобус;Фрукт;Бичпакет;Кричать;Фотать;Ватрушки;Вредная женщина ;Клубника
12.15.2016 17:33:10;Омск;21;Файл;Штрих;Микроавтобус;Шутка;Чойс;Смеяться;Фотать;Шанежки;Не знаю;Клубника
12.15.2016 19:10:42;Омск;20;Файл;Штрих;Маршрутка;Фрукт/Синяк ;Чойс;Кричать;Фотать;Ватрушки;Не знаю;Клубника
